Index,Names in References,SMILES,SMILES withous Bridge Linkers,Scaffolds,Kinase Targets,Types,Binding Affinities,References
MKI-11,8e,NC1=NC=C2C(C(C)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@H](C)OC1=N2)=O,NC1=NC=C(N=C1O[C@@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3C,c1ccc(cc1)COc1cncc(n1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,11.0/67.0,10.1021/jm500261q
MKI-12,8f,NC1=NC=C2C(C(OC)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3OC,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.2/0.1,10.1021/jm500261q
MKI-13,8g,NC1=NC=C2C(C(OC)=NN3C)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=N2)=O,NC1=NC=C(N=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3OC,c1ccc(cc1)COc1cncc(n1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.08/0.02,10.1021/jm500261q
MKI-14,8h,NC1=NC=C2C(C=C(S(C)(=O)=O)C=C3)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CC=CC(S(C)(=O)=O)=C3,c1ccc(cc1)COc1cncc(c1)c1ccccc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.07/0.40,10.1021/jm500261q
MKI-15,8i,NC1=NC=C2C(C=C(S(C)(=O)=O)C=C3)=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=N2)=O,NC1=NC=C(N=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CC=CC(S(C)(=O)=O)=C3,c1ccc(cc1)COc1cncc(n1)c1ccccc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.10/0.12,10.1021/jm500261q
MKI-16,8j,NC1=NC=C2C(C(C3CC3)=NN4C)=C4CN(C)C(C(C=CC(F)=C5)=C5[C@@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN(C)N=C3C4CC4,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,<0.10/,10.1021/jm500261q
MKI-17,8k(Lorlatinib),NC1=NC=C2C3=C(N(N=C3CN(C)C(C(C=CC(F)=C4)=C4[C@@H](C)OC1=C2)=O)C)C#N,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=C(N(N=C3)C)C#N,c1ccc(cc1)COc1cncc(c1)c1c[nH]nc1,ALK/ALK-L1196M (Ki (nM)),Type-I,0.70/,10.1021/jm500261q
MKI-18,8l,NC1=NC=C2C(N(C=C(C)C=N3)C3=N4)=C4CN(C)C(C(C=CC(F)=C5)=C5[C@@H](C)OC1=C2)=O,NC1=NC=C(C=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN=C4N3C=C(C)C=N4,c1ccc(cc1)COc1cncc(c1)c1cnc2n1cccn2,ALK/ALK-L1196M (Ki (nM)),Type-I,2.0/,10.1021/jm500261q
MKI-19,8m,NC1=NC=C2C(N(C=C(C#N)C=C3)C3=N4)=C4CN(C)C(C(C=CC(F)=C5)=C5[C@@H](C)OC1=N2)=O,NC1=NC=C(N=C1O[C@H](C)C2=CC=CC(F)=C2)C3=CN=C4N3C=C(C#N)C=C4,c1ccc(cc1)COc1cncc(n1)c1cnc2n1cccc2,ALK/ALK-L1196M (Ki (nM)),Type-I,0.56/,10.1021/jm500261q
MKI-20,1,C1(NC2=CC=CC3=C2)=NC=CC(C4=CC(OCC/C=C/CNC3)=CC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.15±0.083/0.11±0.038,10.1007/s10822-012-9572-z
MKI-21,2,C1(NC2=CC=CC3=C2)=NC=CC(C4=CC(OC/C=C/COC3)=CC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.28±0.035/0.10±0.001,10.1007/s10822-012-9572-z
MKI-22,7,C1(NC2=CC=CC3=C2)=NC=CC(C4=CC(OCC/C=C/CO3)=CC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.23±0.014/0.088±0.013,10.1007/s10822-012-9572-z
MKI-23,8,CN(C/C=C/COC1)CC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.23±0.0071/0.31±0.035,10.1007/s10822-012-9572-z
MKI-24,9,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COCCCCOC4)=CC=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.076±0.024/0.027±0.0079,10.1007/s10822-012-9572-z
MKI-25,10,[H]/C(COC1)=C([H])\COCC2=CC=CC(C3=NC(NC4=CC=C(OCCN5CCCC5)C1=C4)=NC=C3)=C2,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.065±0.016/0.080±0.02,10.1007/s10822-012-9572-z
MKI-26,11(SB1518; Pacrintinb),[H]/C1=C([H])\COCC2=CC(NC3=NC=CC(C4=CC(COC1)=CC=C4)=N3)=CC=C2OCCN5CCCC5,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.023±0.006/0.022±0.006,10.1007/s10822-012-9572-z
MKI-27,12,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COCC6C(C6)COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.073±0.02/0.037±0.0097,10.1007/s10822-012-9572-z
MKI-28,13,COC(C=C1)=C(OC/C=C/CCO2)C=C1C3=NC(NC4=CC=CC2=C4)=NC=C3,COC(C=C1)=CC=C1C2=NC(NC3=CC=CC=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.096±0.0042/0.039±0.0035,10.1007/s10822-012-9572-z
MKI-29,14,COC(C=C1)=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,[O]C(C=C1)=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.019±0.0021/0.092±0.011,10.1007/s10822-012-9572-z
MKI-30,15,COC(C=C1)=C(CN(C)C/C=C/COC2)C=C1C3=NC(NC4=CC=CC2=C4)=NC=C3,COC(C=C1)=CC=C1C2=NC(NC3=CC=CC=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.69±0.028/0.41±0.0071,10.1007/s10822-012-9572-z
MKI-31,16,FC(C=C1)=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,FC(C=C1)=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.025±0.0014/0.040±0.015,10.1007/s10822-012-9572-z
MKI-32,17,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C5=C3)=NC=C2)=CC(OCC/C=C/COC5)=C1,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2)=CC=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.024±0.0021/0.0077±0.00035,10.1007/s10822-012-9572-z
MKI-33,18,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C5=C3)=NC=C2)=CC(COC/C=C/COC5)=C1,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2)=CC=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.039±0.0014/0.10±0.0092,10.1007/s10822-012-9572-z
MKI-34,19,COC1=CC=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,COC1=CC=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.33±0.0/0.012±0.00071,10.1007/s10822-012-9572-z
MKI-35,20,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C4=C2)N=C1C5=CC(COC/C=C/COC4)=CC=C5,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1C4=CC=CC=C4,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.0066±0.00042/0.019±0.0014,10.1007/s10822-012-9572-z
MKI-36,21,FC1=CN=C(NC2=CC=C(OCCN3CCCC3)C4=C2)N=C1C5=CC(COC/C=C/COC4)=CC=C5,FC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1C4=CC=CC=C4,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.017±0.0/0.015±0.0028,10.1007/s10822-012-9572-z
MKI-37,22,NC1=CC2=CC(NC3=NC=CC(C4=CC(COC/C=C/COC2)=CC=C4)=N3)=C1,NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.035±0.00071/0.052±0.028,10.1007/s10822-012-9572-z
MKI-38,23,O=C(CCN(CC)CC)NC1=CC2=CC(NC3=NC=CC(C4=CC(COC/C=C/COC2)=CC=C4)=N3)=C1,O=C(CCN(CC)CC)NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.044±0.0035/0.078±0.0071,10.1007/s10822-012-9572-z
MKI-39,24,COC1=C(OCCN2CCCC2)C3=CC(NC4=NC=CC(C5=CC(COC/C=C/COC3)=CC=C5)=N4)=C1,COC1=C(OCCN2CCCC2)C=CC(NC3=NC=CC(C4=CC=CC=C4)=N3)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.036±0.0028/0.0064±0.0013,10.1007/s10822-012-9572-z
MKI-40,25,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(OCC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.051±0.012/0.12±0.046,10.1007/s10822-012-9572-z
MKI-41,26,C1(NC2=CC=C(OCCCN3CCCC3)C4=C2)=NC=CC(C5=CC(OCC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.021±0.0071/0.030±0.0042,10.1007/s10822-012-9572-z
MKI-42,27,C1(NC2=CC=C(OCCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.019±0.0014/0.037±0.02,10.1007/s10822-012-9572-z
MKI-43,28,CN(CC1)CCN1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(OCC/C=C/COC2)=CC=C5)=N4,CN(CC1)CCN1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.041±0.0051/0.030±0.0071,10.1007/s10822-012-9572-z
MKI-44,29,C1(NC2=CC=C(N3CCOCC3)C4=C2)=NC=CC(C5=CC(OCC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(N3CCOCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.06±0.0014/0.032±0.012,10.1007/s10822-012-9572-z
MKI-45,30,CS(N(CC1)CCN1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(OCC/C=C/COC2)=CC=C5)=N4)(=O)=O,CS(N(CC1)CCN1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.15±0.021/0.15±0.028,10.1007/s10822-012-9572-z
MKI-46,31,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CN=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CN=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CN=C3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.29±0.085/0.063±0.0028,10.1007/s10822-012-9572-z
MKI-47,32,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=NC=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=NC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=NC=C3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.018±0.0027/0.031±0.0062,10.1007/s10822-012-9572-z
MKI-48,33,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC=C(COC/C=C/COC4)O5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CO4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CO3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.046±0.0069/0.060±0.013,10.1007/s10822-012-9572-z
MKI-49,34,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC=C(COC/C=C/COC4)S5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CS4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CS3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.0073±0.0016/0.024±0.0061,10.1007/s10822-012-9572-z
MKI-50,35,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=COC(COC/C=C/COC4)=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=COC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=COC=C3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.067±0.0071/0.048±0.014,10.1007/s10822-012-9572-z
MKI-51,36,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CSC(COC/C=C/COC4)=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CSC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CSC=C3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.017±0.0035/0.045±0.018,10.1007/s10822-012-9572-z
MKI-52,37,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CN(CC/C=C/COC4)N=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CNN=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CNN=C3)=N1,JAK2/FLT3 (IC50 (μM)),Type-I,0.12±0.014/0.032±0.0042,10.1007/s10822-012-9572-z
MKI-53,38,NC1=NC(NC2=CC=C(OCCN3CCCC3)C4=C2)=NN1C5=NC(OCC/C=C/COC4)=CC=N5,NC1=NC(NC2=CC=C(OCCN3CCCC3)C=C2)=NN1C4=NC=CC=N4,C(N=C1)(NC2=CC=CC=C2)=NN1C3=NC=CC=N3,JAK2/FLT3 (IC50 (μM)),Type-I,0.27±0.023/0.023±0.0014,10.1007/s10822-012-9572-z
MKI-54,16b,C1(NC2=CC=CC3=C2)=NC=CC(C4=CC(OCC/C=C/CO3)=CC=C4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.23/0.88,10.1021/jm200326p
MKI-55,16c,COC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(OCC/C=C/COC1)=CC=C4)=N3,COC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.13/0.31,10.1021/jm200326p
MKI-56,16d,COC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(OC/C=C/COC1)=CC=C4)=N3,COC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.26/0.08,10.1021/jm200326p
MKI-57,16e,COC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(COC/C=C/COC1)=CC=C4)=N3,COC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.07/0.19,10.1021/jm200326p
MKI-58,16f,OC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(COC/C=C/COC1)=CC=C4)=N3,OC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.053/0.17,10.1021/jm200326p
MKI-59,17a,C1(NC2=CC=C(N3CCOCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(N3CCOCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.06/0.032,10.1021/jm200326p
MKI-60,17c,C1(NC2=CC=C(N3CCNCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(N3CCNCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.083/0.049,10.1021/jm200326p
MKI-61,17d,CN(CC1)CCN1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4,CN(CC1)CCN1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.041/0.030,10.1021/jm200326p
MKI-62,17e,OCCN(CC1)CCN1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4,OCCN(CC1)CCN1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.084/0.070,10.1021/jm200326p
MKI-63,17f,O=C(C)N(CC1)CCN1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4,O=C(C)N(CC1)CCN1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.12/0.038,10.1021/jm200326p
MKI-64,17g,CCS(C(CC1)CCC1C(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4)(=O)=O,CCS(C(CC1)CCC1C(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.15/0.15,10.1021/jm200326p
MKI-65,17h,CN(CCN(C)C)C(C1=C2)=CC=C2NC3=NC=CC(C4=CC(COC/C=C/COC1)=CC=C4)=N3,CN(CCN(C)C)C(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.077/0.031,10.1021/jm200326p
MKI-66,21a,ClCCOC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(COC/C=C/COC1)=CC=C4)=N3,ClCCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.22/0.076,10.1021/jm200326p
MKI-67,21b,CCN(CC)CCOC(C1=C2)=CC=C2NC3=NC=CC(C4=CC(COC/C=C/COC1)=CC=C4)=N3,CCN(CC)CCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.024/0.029,10.1021/jm200326p
MKI-68,21c,C1(NC2=CC=C(OCCN3CCCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.023/0.022,10.1021/jm200326p
